L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Hardware,"VIP-IMSS-CLIENT THE FAILURE IS IN THE WORKSTATION, IT RESTARTS REPEATEDLY","VIP-IMSS-CLIENTE LA FALLA LA PRESENTA LA ESTACI?N DE TRABAJO , SE REINICIA REITERATIVAMENTE",,,
Hardware,Issue with Renal processing,Issue with Renal processing,,,
Hardware,"VIP-IMSS-CLIENT-THE WORKSTATION DOES NOT TURN ON AND WHEN IT TURNS ON, IT DOES NOT RECORD THE STUDIES ON THE DISKS.","VIP-IMSS-Client-Don't turn on the workstation and when you get to turn on, you do not record your studies on the discs.",,,
Hardware,ISP Server boot issues - Hardware failure,ISP Server boot issues - Hardware failure,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Crouse Hospital (ISPv11.1.7),,,
Hardware,05L/IntelliSpace IX/LX Workstations/change the printer IP,05L/IntelliSpace IX/LX Workstations/change the printer IP,,,
Hardware,02N/IntelliSpace Portal Solutions/Server failure,02N/IntelliSpace Portal Solutions/Server failure,,,
Hardware,Wechat:05R/Extended Brilliance Workspace/workstation cannot boot up,Wechat:05R/Extended Brilliance Workspace/workstation cannot boot up,,,
Hardware,ISP keyboard is not functioning,ISP keyboard is not functioning,,,
Hardware,CD drive and DVD writer is not functioning,CD drive and DVD writer is not functioning,,,
Hardware,01/IntelliSpace IX/LX Workstations/Add Printer,01/IntelliSpace IX/LX Workstations/Add Printer,,,
Hardware,THE EBW MONITOR DOES NOT TURN ON,The EBW monitor does not turn on,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: UNION HOSPITAL OF CECIL COUNTY (ISPv11.1.2),,,
Hardware,Having issues with EBW workstation,Having issues with EBW workstation,,,
Hardware,05R/IntelliSpace IX/LX Workstations/cann't write,05R/IntelliSpace IX/LX Workstations/cann't write,,,
Hardware,05K/IntelliSpace IX/LX Workstations/Can't burn,05K/IntelliSpace IX/LX Workstations/Can't burn,,,
Hardware,05R/IntelliSpace IX/LX Workstations/Drive failure,05R/IntelliSpace IX/LX Workstations/Drive failure,,,
Hardware,Wechat:05R/IntelliSpace IX/LX Workstations/Small workstation memory,Wechat:05R/IntelliSpace IX/LX Workstations/Small workstation memory,,,
Hardware,ISP DVD writer not functioning,ISP DVD writer not functioning,,,
Hardware,System is completely down unable to  use it,System is completely down unable to  use it,,,
Hardware,It was reported by our MRI technologists that NeuroQuant processing is taking up to 30 minutes instead of the expected 2-3 minutes. Would you be able to check as to why the processing portion may be slow?,Neuroquant processing delays,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,Mouse is not functioning,Mouse is not functioning,,,
Hardware,02N/IntelliSpace Portal Solutions/DVD burner fault,02N/IntelliSpace Portal Solutions/DVD burner fault,,,
Hardware,It does not record CDs and DVDs.,NO records CD and DVD,,,
Hardware,HDD replacement,SS:HDD??,,,
Hardware,Wechat:05R/Extended Brilliance Workspace/The workstation host cannot be started,Wechat:05R/Extended Brilliance Workspace/The workstation host cannot be started,,,
Hardware,workstation second display is not functioning,workstation second display is not functioning,,,
Hardware,Order label after ISP upgrade Windows 2019,D000934691 ISP 12.1.4 SW Deployment,,,
Hardware,05R/Extended Brilliance Workspace/2 sets of keyboards and mice are required,05R/Extended Brilliance Workspace/2 sets of keyboards and mice are required,,,
Hardware,wechat:01/IntelliSpace Portal Solutions/drive fault,wechat:01/IntelliSpace Portal Solutions/drive fault,,,
Hardware,05K FOR IB /IntelliSpace IX/LX Workstations/Disc failure,05K FOR IB /IntelliSpace IX/LX Workstations/Disc failure,,,
Hardware,WeChat?05R/IntelliSpace IX/LX Workstations,WeChat?05R/IntelliSpace IX/LX Workstations,,,
Hardware,02N/IntelliSpace Portal Solutions/Add Printer,02N/IntelliSpace Portal Solutions/Add Printer,,,
Hardware,SA:05L/IntelliSpace Portal Solutions/cannt power up,SA:05L/IntelliSpace Portal Solutions/cannt power up,,,
Hardware,ISP mouse is not functioning,ISP mouse is not functioning,,,
Hardware,ISP system mouse is not functioning,ISP system mouse is not functioning,,,
Hardware,05R/Extended Brilliance Workspace/print,05R/Extended Brilliance Workspace/print,,,
Hardware,05R/Extended Brilliance Workspace/The mouse and keyboard need to be replaced,05R/Extended Brilliance Workspace/The mouse and keyboard need to be replaced,,,
Hardware,"Hi Support,

I believe you support the following server (DVHCT01)?

While doing physical checks this morning in our data centre, I have come across the T620 hardware, which is indicating two of three disks have failed, are you able to assist with this?

S/T 2HJFJ5J ? It?s a Dell PowerEdge T620
Installed on the desktop is CT Intellispace.

Best,
Conor Balne",ISP - Darent Valley - DVHCT01 two failed disks,,,
Hardware,Machine is not getting on,Machine is not getting on,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,workstation not booting,workstation not booting,,,
Hardware,SA:01/IntelliSpace Portal Solutions/The workstation runs stuttering,SA:01/IntelliSpace Portal Solutions/The workstation runs stuttering,,,
Hardware,DynaCAD PC is not functioning,DynaCAD PC is not functioning,,,
Hardware,CPU automatically getting Switched Off,CPU automatically getting Switched Off,,,
Hardware,ISP CD Drive not functioning,ISP CD Drive not functioning,,,
Hardware,"DEAR ALL, I WOULD LIKE TO SAY HELLO. I WOULD LIKE TO INFORM YOU THAT THE EQUIPMENT FAILED AGAIN. THIS WAS CHECKED BY THE TECH FRANCISCO CABRERA ON 01/16. No. OF CASE 0121010508 WHERE IT WAS SPECIFIED THAT IT WAS OPERATIONAL, TODAY 17/01 IT FAILED AGAIN WITH THE SAME SYMPTOMS, THE EQUIPMENT RESTARTS AND TURNS OFF ABRUPTLY, PLEASE MANAGE THE CHANGE OF THE ROOM, AN UPGRADE SINCE THE DOCTOR CANNOT WORK ON IT, AS A RESULT OF NOT BEING ABLE TO PERFORM STUDIES AND PATIENT REPORTS","Team fails again, equipment is restarted (manage upgrade)",,,
Hardware,CD writer not working,CD writer not working,,,
Hardware,Printing configuration,Configuration of prints,,,
Hardware,DVD writer not working,DVD writer not working,,,
Hardware,"Problem with the ICS console, it goes into failure, no printing.",Problem with the ISP console,,,
Hardware,Problem: raid disk out of operation.,pb disk raid HS,,,
Hardware,Neither one of disc drives are working to burn cd's,0902CDN70S09 Neither one of disc drives are working to burn cd's,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: CAMBRIDGE MEMORIAL HOSPITAL (ISPv10.1.3),,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: GEORGE L DUMONT HOPITAL (ISPv10.1.4),,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Royal Victoria Regional Health (ISPv11.1.4),,,
Hardware,SA:Escalation/IntelliSpace Portal Solutions,SA:Escalation/IntelliSpace Portal Solutions,,,
Hardware,CD drive is not working,CD drive is not working,,,
Hardware,ISP system is not switching On,ISP system is not switching On,,,
Hardware,Machine is not swtiching ON,Machine is not swtiching ON,,,
Hardware,Mylear partially crack,Mylear partially crack,,,
Hardware,CD writer is not functioning and slow processing,CD writer is not functioning and slow processing,,,
Hardware,01/IntelliSpace Portal Solutions/PM tools,01/IntelliSpace Portal Solutions/PM tools,,,
Hardware,Setting up internal USB key.,Instal USB Installation,,,
Hardware,During reporting sessions the NM viewer is randomly crashing on different workstations.,NM viewer crashing during reporting multiple workstations,,,
Hardware,Setting up internal USB key.,Instal USB Installation,,,
Hardware,"Degraded disk in server MBRTISP03W12
ISP serial: 701100

Physical Drive in Port 1I Box 1 Bay 3
Status Degraded (Predictive failure) 
Serial Number WFK0KNY4 
Model EG001200JWJNQ 
Media Type HDD 
Capacity 1200 GB 
Location Port 1I Box 1 Bay 3 
Firmware Version HPD0 
Drive Configuration Configured 
Encryption Status Not Encrypted",Degraded disk server MBRTISP03W12,,,
Hardware,mouse not functioning,mouse not functioning,,,
Hardware,DVD Writer is not functioning,DVD Writer is not functioning,,,
Hardware,Trying to find manufacturing date for the collimators,Trying to find manufacturing date for the collimators,,,
Hardware,VIP-CLIENT-IT DOES NOT RECOGNIZE CDs AND DOES NOT SEND FILES TO INTELLISPACE.,VIP-CLIENTE-NO  RECONOCE CD?S Y NO MANDA ARCHIVOS AL INTELLISPACE.,,,
Hardware,05K/IntelliSpace Portal Solutions/Use problems,05K/IntelliSpace Portal Solutions/Use problems,,,
Hardware,"Disorder:
Failure:
The customer's central Concerto server in Leverkusen (internal IP 10.150.139.115, host ISP-RA-MAN-SV01) offline. Unfortunately, he has no further data for this system.
Login to ISP currently not possible via Windows user accounts.",Med360? zentraler Concerto in Leverkusen offline,,,
Hardware,EBW system mouse and keyboard is not functioning properly,EBW system mouse and keyboard is not functioning properly,,,
Hardware,"Blue screen, system is not working. Request for urgent intervention","workstation schermo blu, non funzionante",,,
Hardware,The system does not print the plates.,The system does not print the slabs.,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Stillwater Medical Center - Nuvodia Llc,,,
Hardware,QUESTION ON HOW THE DEVICE WORKS,QUESTION ON HOW THE DEVICE WORKS,,,
Hardware,Keyboard not work,EBW blue screen,,,
Hardware,No space on Portal,Spazio exhausted on Portal,,,
Hardware,MIRROR 0121086725 - THE WORKSTATION DOES NOT RECORD DISKS,Mirror 0121086725 - Working work does not record records,,,
Hardware,It does not load to the system,NO CARRES IN THE SYSTEM,,,
Hardware,Reload Primary and Secondary servers on new VMs,Reload Primary and Secondary servers,,,
Hardware,05R/Extended Brilliance Workspace/The display screen is broken,05R/Extended Brilliance Workspace/The display screen is broken,,,
Hardware,WeChat?05R/IntelliSpace Portal Solutions/The server can't start,WeChat?05R/IntelliSpace Portal Solutions/The server can't start,,,
Hardware,Check ISP functionality,ISP functionality verification,,,
Hardware,When saving an auto report the images are black in the report,Dynacad report black images,,,
Hardware,problem with application during printer keeps on pop up. could not print,problem with application during printer keeps on pop up.,,,
Hardware,"Second Philips console CD reader input is broken.
Area Vasta 2 - Hospital - Senigallia - Radiology",Broken cd player entrance,,,
Hardware,Cooling fans started operating at high speed,0702CDN86 Cooling fans started operating at high speed,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive maintenance: Kaiser Capitol Hill Campus - WA,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Cleveland Clinic Foundation (CCAC),,,
Hardware,Customer requesting a server reboot,ISP server reboot request,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: UNM-UNIV of New Mexico Hospital,,,
Hardware,"IT HAS BEEN DIFFICULT TO RECORD THE STUDIES WITH THE BURNER OF THE WORKSTATION OF THE PHILIPS SCANNER, EVEN TRYING WITH SEVERAL CDs THEY HAVE NOT BEEN ABLE TO, SOMETIMES RESTARTING THE EQUIPMENT THEY ARE ABLE TO BUT FREQUENTLY AND WITHOUT SUCCESS","It has made it difficult to record the studies with the burnt of the work of the Philips Tomograph, a?n ...",,,
Hardware,05R/Extended Brilliance Workspace,05R/Extended Brilliance Workspace,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Grand Junction Community Hospital (Colorado),,,
Hardware,Problem in the workastion,Problems on Workastion,,,
Hardware,The equipment is not turning on.,The equipment is not calling.,,,
Hardware,THE BURNER IS DAMAGED,The burner is damaged,,,
Hardware,the patient table got stuck will not retract all the way,the patient table got stuck will not retract all the way,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: Northbay Medical Center (California),,,
Hardware,EBW DVD WRITER NOT WORKING,EBW DVD WRITER NOT WORKING,,,
Hardware,"Iportal cannot be opened.
A message appears saying THAT THEY COULD NOT CONNECT TO THE PORTAL SERVER
Thank you

Pepa",The application cannot be opened,,,
Hardware,"The IDRAC control circuit of the workstation on which application Phiips Intellispace Portal is installed sent the following message:

System Host Name: PHILIPS-705
Event Message: The PERC1 battery is low.
Date/Time: Thu, 26 Jan 2023 22:56:59 +0100
Severity: Warning

Detailed Description: System settings may be preserved if input power is not removed from the power supplies.
Recommended Action: Check the battery at the next service window.
Message ID: BAT0015

System Model: T620, 000
Service Tag: 2XVW522
Power State: ON
Operating System: Microsoft Windows Server 2008 R2, Standard x64 Edition
System Location: Slot 1 (5 U)

It is asked to arrange an intervention for the replacement of the battery with SIC and SIR:
SIR: Simone Beretta (sir.lombardia@lanostrafamiglia.it, tel. 031 877287,cell: 3450985090)
Sic: Paola Grigioni (sic.lombardia@lanostrafamiglia.it, tel. 031 877838)",PHILIPS-705: The PERC1 battery is low,,,
Hardware,There is an app on the system that does not work per the customer,There is an app on the system that does not work per the customer,,,
Hardware,"ISP not functioning, need configuration","ISP not functioning, need configuration",,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: St Joseph Hospital (Arizona),,,
Hardware,Mouse is not functioning in ISP,Mouse is not functioning in ISP,,,
Hardware,SA:01/IntelliSpace IX/LX Workstations/equipment failure,SA:01/IntelliSpace IX/LX Workstations/equipment failure,,,
Hardware,MOUSE WORKS RANDOMLY AND THE CD READER IS BAD,MOUSE FUNCIONA DE FORMA ALEATORIA Y EL LECTOR DE CD EST? MAL,,,
Hardware,THE DISK BURNER DOES NOT WORK,Disco burner does not work,,,
Hardware,05R/IntelliSpace IX/LX Workstations/Optical drive failure,05R/IntelliSpace IX/LX Workstations/Optical drive failure,,,
Hardware,05R/Extended Brilliance Workspace/Recorder failure,05R/Extended Brilliance Workspace/Recorder failure,,,
Hardware,SA:05R/Extended Brilliance Workspace/DVD RW Fault,SA:05R/Extended Brilliance Workspace/DVD RW Fault,,,
Hardware,01/IntelliSpace IX/LX Workstations/batch film cannot continue,01/IntelliSpace IX/LX Workstations/batch film cannot continue,,,
Hardware,SA?01/IntelliSpace IX/LX Workstations/record fault,SA?01/IntelliSpace IX/LX Workstations/record fault,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/There is an optical drive,SA:05R/IntelliSpace Portal Solutions/There is an optical drive,,,
Hardware,Booting Problem,Booting Problem,,,
Hardware,DYNO CAD IS NOT WORKING,DYNO CAD IS NOT WORKING,,,
Hardware,WeChat?05R/IntelliSpace IX/LX Workstations/DVD recorder fault,WeChat?05R/IntelliSpace IX/LX Workstations/DVD recorder fault,,,
Hardware,"Adding another server to the list

MHSISPTST01	Philips ISP IntelliSpace Portal (Concerto) 


Thanks,

Best Regards,
Rahim Sawadi,
MES Solutions Delivery Integration Manager
Philips Canada.
 
1875 Buckhorn Gate, 5th Floor Mississauga, Ontario L4W 5P1
Cell #: 416-843-1389, Email: rahim.sawadi@philips.com",Quarterly Server Update - TEST servers - Portal,,,
Hardware,INTELLISPACE PORTAL MONITOR DOES NOT TURN ON,MONITOR DEL INTELLISPACE PORTAL NO ENCIENDE,,,
Hardware,01/IntelliSpace Portal Solutions/RW DVD fault,01/IntelliSpace Portal Solutions/RW DVD fault,,,
Hardware,05R_107_Radiology_ISP_ISP workstation's CD drive failure. 40200,05R_107_Radiology_ISP_ISP workstation's CD drive failure. 40200,,,
Hardware,05R/Extended Brilliance Workspace/monitor,05R/Extended Brilliance Workspace/monitor,,,
Hardware,It is not generating printing,Is not generating impression,,,
Hardware,It does not record the DVD,do not make the DVD record,,,
Hardware,The mouse is not working.,mouse is not working,,,
Hardware,Client requests replacement of mouse,Mouse replacement,,,
Hardware,WS OUT OF SERVICE,WS out of service,,,
Hardware,05K/IntelliSpace IX/LX Workstations/Add node,05K/IntelliSpace IX/LX Workstations/Add node,,,
Hardware,05R/IntelliSpace Portal Solutions/Powerup fail,05R/IntelliSpace Portal Solutions/Powerup fail,,,
Hardware,Unable to write CD in ISP,Unable to write CD in ISP,,,
Hardware,WORKSTATION DOES NOT TURN ON,WORKSTATION N?O LIGA,,,
Hardware,wechat:SA?05R/IntelliSpace Portal Solutions/Film printing failure,wechat:SA?05R/IntelliSpace Portal Solutions/Film printing failure,,,
Hardware,Restart ISP Server,Restart ISP Server,,,
Hardware,Workstation monitor failure. It needs to be replaced.,Replace workstation monitor,,,
Hardware,CD writer not functioning,CD writer not functioning,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/client cannot power on,SA:05R/IntelliSpace Portal Solutions/client cannot power  on,,,
Hardware,02N/IntelliSpace IX/LX Workstations/add printer,02N/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,SA?05K For IB/IntelliSpace IX/LX Workstations/print error,SA?05K For IB/IntelliSpace IX/LX Workstations/print error,,,
Hardware,Mouse is not functioning,Mouse is not functioning,,,
Hardware,Mouse not working properly,Mouse not working properly,,,
Hardware,"Request for intervention, the server flashes.",The server flashes.,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive Maintenance: RADNET California (ISP HX v12.1.6),,,
Hardware,unable to access local worklist,unable to access local worklist,,,
Hardware,Customer called Philips requesting Tech Support to reboot local ISP server,ISP: server reboot request,,,
Hardware,Neuroquant processing,Neuroquant processing,,,
Hardware,ISP cd writer not functioning,ISP cd writer not functioning,,,
Hardware,05R/Extended Brilliance Workspace/Hard disk not recognized,05R/Extended Brilliance Workspace/Hard disk not recognized,,,
Hardware,DVD Writer is not functioning in ISP System,DVD Writer is not functioning in ISP System,,,
Hardware,CD writer not functioning,CD writer not functioning,,,
Hardware,We are getting reports from the VMPHPORTAL with IP 10.163.5.19 that disks C and D are almost full.,We are arriving reports of the L VMPHORTAL with IP 10.163.5.19 that are the almost full disc,,,
Hardware,ISPv12.1.7 client test - Test Server performance issues,ISPv12.1.7 client test - Test Server performance issues,,,
Hardware,01/IntelliSpace IX/LX Workstations/need onsite clean disk,01/IntelliSpace IX/LX Workstations/need onsite clean disk,,,
Hardware,PPAI-4 OU - CHECK MAC server HOCHO172S CHO,PPAI -4 or - Revisi Mac Hochho172s Cho server,,,
Hardware,ISP DVD WRITTER IS NOT FUNCTIONING,ISP DVD WRITTER IS NOT FUNCTIONING,,,
Hardware,DVD writer not functioning,DVD writer not functioning,,,
Hardware,DVD Drives need replacing,DVD Drives need replacing,,,
Hardware,VIP-CLIENT-SESSION CANNOT BE STARTED,VIP-CLIENTE-NO SE PUEDE INICIAR SESI?N,,,
Hardware,EBW System is not switching On power supply issue,EBW System is not switching On power supply issue,,,
Hardware,05R/Extended Brilliance Workspace/ no boot device found,05R/Extended Brilliance Workspace/ no boot device found,,,
Hardware,MRI ISP Server not working.,MRI ISP Server not working.,,,
Hardware,flood due to pipeburst in control room,flood due to pipeburst in control room,,,
Hardware,Printer is not functioning,Printer is not functioning,,,
Hardware,02N/IntelliSpace IX/LX Workstations/clean data,02N/IntelliSpace IX/LX Workstations/clean data,,,
Hardware,"AVA crashes on new server, as reported by clinical apps",AVA crashes on new server,,,
Hardware,"They cannot access IPS, they try to access from Imaxe Support and the incident is reproduced (""Authentication sources cannot be retrieved for the server: ispxlu"").",You cannot access the chl application,,,
Hardware,"The server is not reachable.
Radiology P.O.S.G. - CAT sector (reception building P-1)",Non -reachable server,,,
Hardware,Scheduled reboot action due to very high server uptime.,ISP server reboot,,,
Hardware,The processing PC has a noisy power supply fan. Already heard from Lupo.,The PC processing has noisy power supply fan,,,
Hardware,"Portal operation check-up in 2 stations
IP: 87476871",Review of the portal operation in 2 stations,,,
Hardware,60654810 - VA Medical center philadelphia -Need battery for the server,60654810 - VA Medical center philadelphia -Need battery for the server,,,
Hardware,Question on count difference between lung and liver studies.,Question on count difference between lung and liver studies.,,,
Hardware,"EQUIPMENT KEEPS FAILING, EQUIPMENT HAS A BLUE SCREEN","Team continues to fail, restart and blue screen",,,
Hardware,The cardiac studies cannot be raised by entering as user.,You can't raise heart studies by entering as a user,,,
