PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
2888001,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",05R/IntelliSpace IX/LX Workstations/keyboard fault,05R/IntelliSpace IX/LX Workstations/keyboard fault,A
2888299,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Workstation monitor is not functioning,Workstation monitor is not functioning,A
2888598,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",EBW DVD writer not functioning,EBW DVD writer not functioning,A
2888692,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",02N/IntelliSpace IX/LX Workstations/consult,02N/IntelliSpace IX/LX Workstations/consult,A
2889583,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP Problem,"Some ISP servers do not process any data anymore.
Currently the server 3 is on strike, please also check the servers 1, 2, and 4.",A
2889660,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)",Not detected,Technician opens for HD replacement,Technician opens for replacement of HD,A
2890808,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",Unable to print curves,"When we do curves, we cannot print them.",A
2891868,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",NO records CD and DVD,It doesn't burn CDs and DVDs.,A
2891869,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",NO records CD and DVD,It doesn't burn CDs and DVDs.,A
2891871,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",NO records CD and DVD,It doesn't burn CDs and DVDs.,A
2891887,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning","VIP-IMSS-CLIENTE LA FALLA LA PRESENTA LA ESTACI?N DE TRABAJO , SE REINICIA REITERATIVAMENTE","VIP-IMSS-CLIENT THE FAILURE IS IN THE WORKSTATION, IT RESTARTS REPEATEDLY",A
2893101,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Issue with Renal processing,Issue with Renal processing,A
2893188,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning","VIP-IMSS-Client-Don't turn on the workstation and when you get to turn on, you do not record your studies on the discs.","VIP-IMSS-CLIENT-THE WORKSTATION DOES NOT TURN ON AND WHEN IT TURNS ON, IT DOES NOT RECORD THE STUDIES ON THE DISKS.",A
2893246,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP Server boot issues - Hardware failure,ISP Server boot issues - Hardware failure,A
2893604,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: Crouse Hospital (ISPv11.1.7),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2893758,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",05L/IntelliSpace IX/LX Workstations/change the printer IP,05L/IntelliSpace IX/LX Workstations/change the printer IP,A
2894062,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",02N/IntelliSpace Portal Solutions/Server failure,02N/IntelliSpace Portal Solutions/Server failure,A
2894211,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Wechat:05R/Extended Brilliance Workspace/workstation cannot boot up,Wechat:05R/Extended Brilliance Workspace/workstation cannot boot up,A
2894990,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP keyboard is not functioning,ISP keyboard is not functioning,A
2895674,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD drive and DVD writer is not functioning,CD drive and DVD writer is not functioning,A
2895854,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",01/IntelliSpace IX/LX Workstations/Add Printer,01/IntelliSpace IX/LX Workstations/Add Printer,A
2898638,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",The EBW monitor does not turn on,THE EBW MONITOR DOES NOT TURN ON,A
2898688,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: UNION HOSPITAL OF CECIL COUNTY (ISPv11.1.2),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2899142,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Having issues with EBW workstation,Having issues with EBW workstation,A
2899393,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",05R/IntelliSpace IX/LX Workstations/cann't write,05R/IntelliSpace IX/LX Workstations/cann't write,A
2899406,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",05K/IntelliSpace IX/LX Workstations/Can't burn,05K/IntelliSpace IX/LX Workstations/Can't burn,A
2899606,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",05R/IntelliSpace IX/LX Workstations/Drive failure,05R/IntelliSpace IX/LX Workstations/Drive failure,A
2900456,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Wechat:05R/IntelliSpace IX/LX Workstations/Small workstation memory,Wechat:05R/IntelliSpace IX/LX Workstations/Small workstation memory,A
2901068,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ISP DVD writer not functioning,ISP DVD writer not functioning,A
2902444,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",System is completely down unable to  use it,System is completely down unable to  use it,A
2902971,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Neuroquant processing delays,It was reported by our MRI technologists that NeuroQuant processing is taking up to 30 minutes instead of the expected 2-3 minutes. Would you be able to check as to why the processing portion may be slow?,A
2905261,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",DVD writer is not functioning,DVD writer is not functioning,A
2905700,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)",Accessory not usable,Mouse is not functioning,Mouse is not functioning,A
2906100,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",02N/IntelliSpace Portal Solutions/DVD burner fault,02N/IntelliSpace Portal Solutions/DVD burner fault,A
2906710,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",NO records CD and DVD,It does not record CDs and DVDs.,A
2907504,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",SS:HDD??,HDD replacement,A
2907602,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Wechat:05R/Extended Brilliance Workspace/The workstation host cannot be started,Wechat:05R/Extended Brilliance Workspace/The workstation host cannot be started,A
2908177,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",workstation second display is not functioning,workstation second display is not functioning,A
2910042,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",D000934691 ISP 12.1.4 SW Deployment,Order label after ISP upgrade Windows 2019,A
2910456,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",05R/Extended Brilliance Workspace/2 sets of keyboards and mice are required,05R/Extended Brilliance Workspace/2 sets of keyboards and mice are required,A
2910505,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",wechat:01/IntelliSpace Portal Solutions/drive fault,wechat:01/IntelliSpace Portal Solutions/drive fault,A
2910623,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",05K FOR IB /IntelliSpace IX/LX Workstations/Disc failure,05K FOR IB /IntelliSpace IX/LX Workstations/Disc failure,A
2910790,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",WeChat?05R/IntelliSpace IX/LX Workstations,WeChat?05R/IntelliSpace IX/LX Workstations,A
2910878,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",02N/IntelliSpace Portal Solutions/Add Printer,02N/IntelliSpace Portal Solutions/Add Printer,A
2911176,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",SA:05L/IntelliSpace Portal Solutions/cannt power up,SA:05L/IntelliSpace Portal Solutions/cannt power up,A
2911413,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",ISP mouse is not functioning,ISP mouse is not functioning,A
2911797,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",ISP system mouse is not functioning,ISP system mouse is not functioning,A
2911803,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Missing or incorrect,05R/Extended Brilliance Workspace/print,05R/Extended Brilliance Workspace/print,A
2911973,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",05R/Extended Brilliance Workspace/The mouse and keyboard need to be replaced,05R/Extended Brilliance Workspace/The mouse and keyboard need to be replaced,A
2912743,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP - Darent Valley - DVHCT01 two failed disks,"Hi Support,

I believe you support the following server (DVHCT01)?

While doing physical checks this morning in our data centre, I have come across the T620 hardware, which is indicating two of three disks have failed, are you able to assist with this?

S/T 2HJFJ5J ? It?s a Dell PowerEdge T620
Installed on the desktop is CT Intellispace.

Best,
Conor Balne",A
2912776,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Machine is not getting on,Machine is not getting on,A
2913093,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",DVD writer is not functioning,DVD writer is not functioning,A
2916153,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",workstation not booting,workstation not booting,A
2916929,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",SA:01/IntelliSpace Portal Solutions/The workstation runs stuttering,SA:01/IntelliSpace Portal Solutions/The workstation runs stuttering,A
2916957,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",DynaCAD PC is not functioning,DynaCAD PC is not functioning,A
2916981,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",CPU automatically getting Switched Off,CPU automatically getting Switched Off,A
2917195,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ISP CD Drive not functioning,ISP CD Drive not functioning,A
2918018,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning","Team fails again, equipment is restarted (manage upgrade)","DEAR ALL, I WOULD LIKE TO SAY HELLO. I WOULD LIKE TO INFORM YOU THAT THE EQUIPMENT FAILED AGAIN. THIS WAS CHECKED BY THE TECH FRANCISCO CABRERA ON 01/16. No. OF CASE 0121010508 WHERE IT WAS SPECIFIED THAT IT WAS OPERATIONAL, TODAY 17/01 IT FAILED AGAIN WITH THE SAME SYMPTOMS, THE EQUIPMENT RESTARTS AND TURNS OFF ABRUPTLY, PLEASE MANAGE THE CHANGE OF THE ROOM, AN UPGRADE SINCE THE DOCTOR CANNOT WORK ON IT, AS A RESULT OF NOT BEING ABLE TO PERFORM STUDIES AND PATIENT REPORTS",A
2922402,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD writer not working,CD writer not working,A
2922900,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",Configuration of prints,Printing configuration,A
2922908,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",DVD writer not working,DVD writer not working,A
