PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5477268,Complaint,the query of the worklist is done by means of an IP address different from the standard one,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5477605,Complaint,SPECTRAL CT NOT WORKING,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Compatibility,Third Party SW Not Compatible,
5477608,Complaint,"pacs upgrade on Monday night and needs Tuesday Morning, the dicom info updated to the AA Title and IP Server name. ...",Others,Non-Complaint,Non-Complaint,into,,,
5477619,Complaint,Failure in the CD reader.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information,
5477795,Complaint,Process an old patient for Astonish,Software,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,,,
5477888,Complaint,radiologist not able to get into portal - error says no authentication source selected,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Server,Restart resolved,
5478190,Complaint,Customer needs a utilization report and would like to know what apps are being used the most and total of licenses...,Others,Non-Complaint,Non-Complaint,into,,,
5478204,Complaint,"when users log in theres a ""certificate expired"" error",Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5478236,Complaint,01/IntelliSpace IX/LX Workstations/system lag,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5478368,Complaint,Requires enhanced rights and privileges to user login ISP-AVW,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Software,Software/Firmware Settings and Configuration,
5478549,Complaint,KA:05R/IntelliSpace Portal Solutions/harddisk ppd,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive,
5478555,Complaint,05K/IntelliSpace Portal Solutions/can not log in,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Confirmed,Restart resolved,
5478571,Complaint,01/IntelliSpace IX/LX Workstations/ISP lost images date,Image Related,Imaging and Images,"Image is missing, lost or did not save",into,Software,Software Issues (e.g. bugs),
5478991,Complaint,Unable to transfer from ISP-AVW to PACS and CT,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,Use Error,Other use error,
5479124,Complaint,ISP system keyboard is not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Mouse / Keyboard,
5479269,Complaint,01/IntelliSpace IX/LX Workstations/add acc number,Others,Non-Complaint,Non-Complaint,into,,,
5479294,Complaint,not sending or receiving images,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information,
5479364,Complaint,"ISP image transmission abnormality, post-processing cannot produce images",Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Not transmitting, receiving or transmission/receiving failed",into,Software,Software Issues (e.g. bugs),
5479394,Complaint,Installing new licenses on Concerto System,Others,Non-Complaint,Non-Complaint,into,,,
5479498,Complaint,Installation of new license - Preprocessing & Prefetch,Others,Non-Complaint,Non-Complaint,into,,,
5479517,Complaint,unable to create a new user in PMT,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software/Firmware Settings and Configuration,
5479696,Complaint,Installing a demo license,Others,Non-Complaint,Non-Complaint,into,,,
5479752,Complaint,01/Extended Brilliance Workspace/Modify node information,Others,Non-Complaint,Non-Complaint,into,,,
5479756,Complaint,01/IntelliSpace IX/LX Workstations/image transfer issuse,Image Related,Imaging and Images,Image routing,Cannot route image,Use Error,Other use error,
5479814,Complaint,PORTAL - CHS - Alert unit D: \ 90%,Hardware,"Device, System or Product Hardware",Media storage (e.g. SAN - Storage Area Network),into,,,
5479851,Complaint,Blue screen without command icon on hp Z4 workstation,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Software,User access,
5479932,Complaint,"When using it, it cannot select anatomical area - it is disabled",Software,"Software, OS or firmware","Greyed out item on software interface, cannot click item on interface, or not available",into,,,
5479963,Complaint,"Compare + Link do not connect windowing values:When Compare + Link is enabled, the windowing values are not synchronized",Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,,
5480360,Complaint,":with a bookmark without a description, ""Dummy"" pops up in the image",Image Related,Imaging and Images,Image routing,Cannot route image,,,
5480402,Complaint,Progress bar only displays 0,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,,
5480551,Complaint,Temporary facility installation,Others,Non-Complaint,Non-Complaint,into,,,
5480589,Complaint,01/IntelliSpace IX/LX Workstations/add PACS,Others,Non-Complaint,Non-Complaint,into,,,
5480622,Complaint,Vascular surgery studies not correctly assigned or optimally assigned or accessible,Image Related,Imaging and Images,Cannot view or access image(s),into,Unable to Confirm/Replicate Allegation,No problem found,
5480720,Complaint,DVD writer not working,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5480852,Complaint,"05R/IntelliSpace IX/LX Workstatio/ISP can't loginns, Pictures cannot be transmitted",Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Configuration,Configuration Issues,
5480940,Complaint,IMPOSSIBLE TO DELETE SOME CASES + DEVICE NOT WORKING,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Confirmed,Restart resolved,
5481036,Complaint,Images are not transferring to workstation,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Configuration,Configuration Issues,
5481064,Complaint,Unable to open ISP application,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software malfunction,
5481112,Complaint,Main reporting console is not switching on,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Monitor,
5481162,Complaint,ISP CD writer is not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5481223,Complaint,Portal Client Fails to Start in Citrix Environment,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Non-Philips Product/ Accessories,Non- Philips Product,
5481471,Complaint,ISP - Jersey - Unable to save images back to the local store.,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,Confirmed,Restart resolved,
5481507,Complaint,The technician opens a case. The application does not start.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Network - Communication,Customer Network issue,
5481560,Complaint,A problem with downloading an examination by Philips AVW.,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,Software,Software/Firmware Settings and Configuration,
5481595,Complaint,DEMO installation of Workstation with AVW 15.x,Others,Non-Complaint,Non-Complaint,into,,,
5481847,Complaint,unable to open 2 examinations of the same patient.,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Use Error,Other use error,
5481893,Complaint,"Probably since 1.12. some licenses are no longer available, presumably CT Cardio and Osteo",Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,License,
5482395,Complaint,FALLAS CON LA INTER SPACE,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",into,,,
5482659,Complaint,Color reconstructions are seen in B&N on the side of the PACS,Image Related,Imaging and Images,"Image reconstruction failed, interrupted",into,Configuration,Configuration Issues,
5483177,Complaint,The workstation freezes intermittently and image transfer fails.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Software,Software Issues (e.g. bugs),
5483196,Complaint,05R/IntelliSpace Portal Solutions/SW problem,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",User Error,User Error,
5483208,Complaint,Wechat:05R/IntelliSpace Portal Solutions/portal can not login,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Software,Software malfunction,
5483245,Complaint,Issues with concerto server 3,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-System Concerto,Reliability,
5483409,Complaint,The map created by SS:Mapping Analysis (MR Cardiac Analysis) is significantly different from the value created by the MR,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5483418,Complaint,ISP12 TAVI Planning Vessel Diameter Measurement Discrepancy – Automatic vs Manual Methods,Software,"Data, Measurements, Monitoring","Measurements, study & exam data (mismatch, mix up, not syncing or not updating)","Data mix up, mismatch or merged unexpectedly",,,
5483485,Complaint,05k/IntelliSpace Portal Solutions/images process issue,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",,,
5483666,Complaint,"The image exported to the USB disk by isp cannot be opened, but the burning is normal",Image Related,Imaging and Images,Cannot view or access image(s),into,Unable to Confirm/Replicate Allegation,No problem found,
5483762,Complaint,Isp monitor not supporting HP printer scanning function.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Configuration,Configuration Issues,
5483784,Complaint,3D MR sequences pixelized in MMV,Image Related,Imaging and Images,Image routing,Cannot route image,,,
5483803,Complaint,3D MR sequences pixelized in MMV,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",,,
5483818,Complaint,3D MR sequences pixelized in MMV,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",,,
5483834,Complaint,3D MR sequences pixelized in MMV,Image Related,Imaging and Images,Image routing,Cannot route image,,,
5484083,Complaint,Portal auto delete not working,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software/Firmware Settings and Configuration,
5484350,Complaint,SPECTCT images with NM viewer does not work,Image Related,Imaging and Images,Cannot view or access image(s),into,ICAP-NM Viewer,Usability - Workflow,
5484436,Complaint,OCAP:05R/IntelliSpace IX/LX Workstations/images transfer issue,Image Related,Imaging and Images,Image routing,Cannot route image,Non-Philips Product/ Accessories,Non- Philips Product,
5484531,Complaint,DynaCAD is Down @ Fitzwilliam,Others,Duplicate Complaint,Duplicate Complaint,into,,,
5484645,Complaint,Equipment diagnostics,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",,,
5485101,Complaint,ISP - Bergerac - The device turned off with error message just before.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,ICAP-Portal Server,Connectivity,
5485114,Complaint,"The Portal application does not work correctly, it blocks every 1/2 examinations.",Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Software,Software malfunction,
5485238,Complaint,Deletion of files or images list.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Technical foundation not established,
5485259,Complaint,The software can not be logged in.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5485436,Complaint,CD Dvd Writer not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5485750,Complaint,"unable to process files  the QBS recourse files are not loading QBF warning code 904, data set read error/customer...",Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,,,
5486180,Complaint,The images arrive in black and white at Agfa.,Image Related,Imaging and Images,Image routing,Cannot route image,Use Error,Other use error,
5486229,Complaint,In AVW v15.0.7 CT viewer automatically zooms image beyond boarders of viewport.,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software Issues (e.g. bugs),
5486322,Complaint,ISP questions for the server not loading studies properly,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,,
5486370,Complaint,WORKSTATION OF THE TOMOGRAPH IS DISCHARGED,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,,
5486386,Complaint,ISP - Ramsay - ISP is down,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-Portal Server,Connectivity,
5486408,Complaint,ISP - Avignon - Major slowdown on Cardiac MR Analysis,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Compatibility,Configuration : Not Compatible,
5486663,Complaint,ISP - Lambres Lez Douai - No recovery of the anteriorities for Canon,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues,
5487821,Complaint,05R/IntelliSpace IX/LX Workstations/monitor no display,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Monitor,
5487926,Complaint,01/IntelliSpace Portal Solutions/System login failed,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5487962,Complaint,SA:01/IntelliSpace IX/LX Workstations/network problem,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Customer Network issue,
5488035,Complaint,Equipment diagnostics (Error of the certificate when opening the patient),Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5488075,Complaint,CD Writer not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5488094,Complaint,Portal 3 cd drive not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5488417,Complaint,LoadLibrary failed with error 87,Software,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,Configuration,Configuration Issues,
5488479,Complaint,ISP-Wexham Park Hospital-Dynacad issues. transfer DICOM to DynaCad directory,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software/Firmware Settings and Configuration,
5488732,Complaint,One client automatically disconnecting,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Customer Network issue,
5488736,Complaint,BZI54: The ISP certificate is expired,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,,,
5488756,Complaint,Unable to do filming bug report error appearing,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Software,Software malfunction,
5488861,Complaint,It does not start jetpack.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
